doc_no,item_seq,sys_no,author,title,edition,imprint,publication_date,citation,barcode,class,collection_code,call_number_key,primary_call_no_desc,item_desc,internal_note,item_status,event_id,event_type,event_category,event_category_label,event_date,event_hour,event_minute,event_day_part,event_month,event_year,event_year_month,patron_status,patron_type
4317340,930,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491831Q,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.12,,12,39200,Simple Loan,02,Loans,"Sep 22, 2011",08,37,Morning,09,2011,2011/09,Graduate Student,Grad - Law
4317340,930,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491831Q,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.12,,12,46892,Simple Loan,02,Loans,"Sep 9, 2011",08,24,Morning,09,2011,2011/09,Graduate Student,Grad - Law
3969341,30,3969231,"Glannon, Joseph W.",Civil procedure :,6th ed.,"New York, NY : Aspen Publishers, c2008.",2008,"Glannon, Joseph W. ÊCivil procedure : examples and explanations / Joseph W. Glannon. ÊNew York, NY : Aspen Publishers, c2008. Êxvii, 722 p.: ill. ; 26 cm. [003969231]",L00530278P,Civil Procedure (LAW 110),LRESV,kf#8839 g58 2008,KF8839 .G58 2008,c.3,,12,40660,Simple Loan,02,Loans,"Dec 6, 2011",13,01,Noon,12,2011,2011/12,Graduate Student,Grad - Law
3969341,30,3969231,"Glannon, Joseph W.",Civil procedure :,6th ed.,"New York, NY : Aspen Publishers, c2008.",2008,"Glannon, Joseph W. ÊCivil procedure : examples and explanations / Joseph W. Glannon. ÊNew York, NY : Aspen Publishers, c2008. Êxvii, 722 p.: ill. ; 26 cm. [003969231]",L00530278P,Civil Procedure (LAW 110),LRESV,kf#8839 g58 2008,KF8839 .G58 2008,c.3,,12,16687,Simple Loan,02,Loans,"Dec 8, 2012",16,15,Noon,12,2012,2012/12,Graduate Student,Grad - Law
4317340,10,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486465X,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.3,,12,7770,Simple Loan,02,Loans,"Sep 3, 2010",16,35,Noon,09,2010,2010/09,Graduate Student,Grad - Law
4317340,10,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486465X,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.3,,12,16588,Simple Loan,02,Loans,"Feb 17, 2011",14,54,Noon,02,2011,2011/02,Graduate Student,Grad - General
4959488,10,4959488,"Chemerinsky, Erwin.",Constitutional law :,4th ed.,"New York : Wolters Kluwer Law & Business, c2011.",2011,"Chemerinsky, Erwin. ÊConstitutional law : principles and policies / Erwin Chemerinsky. ÊNew York : Wolters Kluwer Law & Business, c2011. Êxxvi, 1401 p. ; 26 cm. [004959488]",L00521867T,Constitutional Law (LAW 120),LRESV,kf#4550 c427 2011,KF4550 .C427 2011,,,12,40852,Simple Loan,02,Loans,"Oct 19, 2012",13,15,Noon,10,2012,2012/10,Graduate Student,Grad - Law
4959488,10,4959488,"Chemerinsky, Erwin.",Constitutional law :,4th ed.,"New York : Wolters Kluwer Law & Business, c2011.",2011,"Chemerinsky, Erwin. ÊConstitutional law : principles and policies / Erwin Chemerinsky. ÊNew York : Wolters Kluwer Law & Business, c2011. Êxxvi, 1401 p. ; 26 cm. [004959488]",L00521867T,Constitutional Law (LAW 120),LRESV,kf#4550 c427 2011,KF4550 .C427 2011,,,12,15321,Simple Loan,02,Loans,"Dec 8, 2012",09,56,Morning,12,2012,2012/12,Graduate Student,Grad - Law
782898,10,782898,,Abolitionists in northern courts :,,"New York : Garland Pub., 1988.",1988,"Abolitionists in northern courts : the pamphlet literature / edited with an introduction by Paul Finkelman. ÊNew York : Garland Pub., 1988. Ê524 p. : ill. ; 23 cm. [000782898]",D00380091L,Law of Slavery (LAW 794),LRESV,kf#4545 s5 a5 1988 ser 3,KF4545.S5 A5 1988 ser.3,c.1,* cnl,01,13963,Simple Loan,02,Loans,"Aug 27, 2012",11,34,Morning,08,2012,2012/08,Law Faculty,Staff - General
4036330,10,4036325,"Barnett, Randy E.",Contracts :,4th ed.,"New York, NY : Aspen Publishers, c2008.",2008,"Barnett, Randy E. ÊContracts : cases and doctrine / Randy E. Barnett. ÊNew York, NY : Aspen Publishers, c2008. Êxxxix, 1160 p. ; 27 cm. [004036325]",L00507919V,Contracts (LAW 130),LRESV,"kf""801 a7 b35 2008",KF801.A7 B35 2008,,,12,29775,Simple Loan,02,Loans,"Jan 9, 2012",18,28,Evening,01,2012,2012/01,Graduate Student,Grad - Law
4343858,10,4343858,"Sornarajah, M.",The international law on foreign investment /,3rd ed.,"Cambridge : Cambridge University Press, 2010.",2010,"Sornarajah, M. ÊThe international law on foreign investment / M. Sornarajah. ÊCambridge : Cambridge University Press, 2010. Êxxx, 524 p. ; 26 cm. [004343858]",L00491758Y,International Investment Law (LAW 752),LRESV,k#3830 4 s67 2010,K3830.4 .S67 2010,,,12,44141,Simple Loan,02,Loans,"Feb 22, 2012",10,53,Morning,02,2012,2012/02,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,10224,Simple Loan,02,Loans,"Aug 17, 2011",16,16,Noon,08,2011,2011/08,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,45505,Simple Loan,02,Loans,"Sep 23, 2011",15,45,Noon,09,2011,2011/09,Graduate Student,Grad - Law
4259582,10,4259575,"Schreuer, Christoph.",The ICSID convention :,2nd ed.,"Cambridge, UK ; New York : Cambridge University Press, c2009.",2009,"Schreuer, Christoph. ÊThe ICSID convention : a commentary : a commentary on the Convention on the settlement of investment disputes between states and nationals of other states / Christoph H. Schreuer ... [et al.]. ÊCambridge, UK ; New York : Cambridge University Press, c2009. Êlxvii, 1524 p. ; 26 cm. [004259575]",L00510816L,International Investment Law (LAW 752),LRESV,k#3834 a41965 s37 2009,K3834.A41965 S37 2009,,,01,3041,Simple Loan,02,Loans,"Oct 12, 2011",16,13,Noon,10,2011,2011/10,Graduate Student,Grad - Law
4259582,10,4259575,"Schreuer, Christoph.",The ICSID convention :,2nd ed.,"Cambridge, UK ; New York : Cambridge University Press, c2009.",2009,"Schreuer, Christoph. ÊThe ICSID convention : a commentary : a commentary on the Convention on the settlement of investment disputes between states and nationals of other states / Christoph H. Schreuer ... [et al.]. ÊCambridge, UK ; New York : Cambridge University Press, c2009. Êlxvii, 1524 p. ; 26 cm. [004259575]",L00510816L,International Investment Law (LAW 752),LRESV,k#3834 a41965 s37 2009,K3834.A41965 S37 2009,,,12,50767,Simple Loan,02,Loans,"Feb 23, 2012",18,04,Evening,02,2012,2012/02,Graduate Student,Grad - Law
4259582,10,4259575,"Schreuer, Christoph.",The ICSID convention :,2nd ed.,"Cambridge, UK ; New York : Cambridge University Press, c2009.",2009,"Schreuer, Christoph. ÊThe ICSID convention : a commentary : a commentary on the Convention on the settlement of investment disputes between states and nationals of other states / Christoph H. Schreuer ... [et al.]. ÊCambridge, UK ; New York : Cambridge University Press, c2009. Êlxvii, 1524 p. ; 26 cm. [004259575]",L00510816L,International Investment Law (LAW 752),LRESV,k#3834 a41965 s37 2009,K3834.A41965 S37 2009,,,12,12357,Simple Loan,02,Loans,"Aug 26, 2012",19,20,Evening,08,2012,2012/08,Graduate Student,Grad - Law
4091810,10,4091810,"Newcombe, Andrew Paul, 1968-",Law and practice of investment treaties :,,"Alphen aan den Rijn : Kluwer Law International ; Frederick, MD : Sold and distributed in North, Cent",2009,"Newcombe, Andrew Paul, 1968- ÊLaw and practice of investment treaties : standards of treatment / by Andrew Newcombe, Llu’s Paradell. ÊAlphen aan den Rijn : Kluwer Law International ; Frederick, MD : Sold and distributed in North, Central and South America by Aspen Publishers, c2009. Êxxx, 614 p. ; 25 cm. [004091810]",L00517467U,International Investment Law (LAW 752),LRESV,k#3830 n49 2009,K3830 .N49 2009,,,01,26124,Simple Loan,02,Loans,"Sep 19, 2011",09,01,Morning,09,2011,2011/09,Graduate Student,Grad - Law
4091810,10,4091810,"Newcombe, Andrew Paul, 1968-",Law and practice of investment treaties :,,"Alphen aan den Rijn : Kluwer Law International ; Frederick, MD : Sold and distributed in North, Cent",2009,"Newcombe, Andrew Paul, 1968- ÊLaw and practice of investment treaties : standards of treatment / by Andrew Newcombe, Llu’s Paradell. ÊAlphen aan den Rijn : Kluwer Law International ; Frederick, MD : Sold and distributed in North, Central and South America by Aspen Publishers, c2009. Êxxx, 614 p. ; 25 cm. [004091810]",L00517467U,International Investment Law (LAW 752),LRESV,k#3830 n49 2009,K3830 .N49 2009,,,01,11263,Simple Loan,02,Loans,"Nov 29, 2011",13,39,Noon,11,2011,2011/11,Law Faculty,Faculty - Law
4091810,10,4091810,"Newcombe, Andrew Paul, 1968-",Law and practice of investment treaties :,,"Alphen aan den Rijn : Kluwer Law International ; Frederick, MD : Sold and distributed in North, Cent",2009,"Newcombe, Andrew Paul, 1968- ÊLaw and practice of investment treaties : standards of treatment / by Andrew Newcombe, Llu’s Paradell. ÊAlphen aan den Rijn : Kluwer Law International ; Frederick, MD : Sold and distributed in North, Central and South America by Aspen Publishers, c2009. Êxxx, 614 p. ; 25 cm. [004091810]",L00517467U,International Investment Law (LAW 752),LRESV,k#3830 n49 2009,K3830 .N49 2009,,,12,1976,Simple Loan,02,Loans,"Feb 24, 2012",14,10,Noon,02,2012,2012/02,Graduate Student,Grad - Law
4317340,930,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491831Q,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.12,,12,39130,Simple Loan,02,Loans,"Apr 4, 2012",12,03,Morning,04,2012,2012/04,Graduate Student,Grad - Law
4317340,930,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491831Q,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.12,,12,23532,Simple Loan,02,Loans,"Feb 16, 2012",07,33,Night,02,2012,2012/02,Graduate Student,Grad - Law
4317340,930,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491831Q,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.12,,12,23577,Simple Loan,02,Loans,"Sep 23, 2010",15,55,Noon,09,2010,2010/09,Graduate Student,Grad - Law
4317340,10,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486465X,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.3,,12,23391,Simple Loan,02,Loans,"Oct 8, 2010",10,22,Morning,10,2010,2010/10,Graduate Student,Grad - Law
4317340,10,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486465X,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.3,,12,34727,Simple Loan,02,Loans,"Feb 8, 2011",13,24,Noon,02,2011,2011/02,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,19287,Simple Loan,02,Loans,"Sep 7, 2010",14,36,Noon,09,2010,2010/09,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,6396,Simple Loan,02,Loans,"May 16, 2011",11,40,Morning,05,2011,2011/05,Graduate Student,Grad - General
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,2815,Simple Loan,02,Loans,"Sep 27, 2011",15,08,Noon,09,2011,2011/09,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,28844,Simple Loan,02,Loans,"Aug 25, 2011",13,02,Noon,08,2011,2011/08,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,42105,Simple Loan,02,Loans,"Feb 21, 2012",17,14,Evening,02,2012,2012/02,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,18540,Simple Loan,02,Loans,"Jan 13, 2012",13,46,Noon,01,2012,2012/01,Graduate Student,Grad - Law
4259582,10,4259575,"Schreuer, Christoph.",The ICSID convention :,2nd ed.,"Cambridge, UK ; New York : Cambridge University Press, c2009.",2009,"Schreuer, Christoph. ÊThe ICSID convention : a commentary : a commentary on the Convention on the settlement of investment disputes between states and nationals of other states / Christoph H. Schreuer ... [et al.]. ÊCambridge, UK ; New York : Cambridge University Press, c2009. Êlxvii, 1524 p. ; 26 cm. [004259575]",L00510816L,International Investment Law (LAW 752),LRESV,k#3834 a41965 s37 2009,K3834.A41965 S37 2009,,,01,71585,Simple Loan,02,Loans,"Dec 17, 2009",19,41,Evening,12,2009,2009/12,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,19172,Simple Loan,02,Loans,"Apr 19, 2011",15,03,Noon,04,2011,2011/04,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,10401,Simple Loan,02,Loans,"Apr 18, 2011",09,51,Morning,04,2011,2011/04,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,63789,Simple Loan,02,Loans,"Apr 14, 2011",14,48,Noon,04,2011,2011/04,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,58925,Simple Loan,02,Loans,"Oct 20, 2009",17,02,Evening,10,2009,2009/10,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,31576,Simple Loan,02,Loans,"Dec 4, 2011",18,20,Evening,12,2011,2011/12,Graduate Student,Grad - Law
4317340,930,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491831Q,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.12,,12,33392,Simple Loan,02,Loans,"Jan 12, 2011",18,31,Evening,01,2011,2011/01,Graduate Student,Grad - Law
4317340,930,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00491831Q,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.12,,12,41333,Simple Loan,02,Loans,"Oct 27, 2010",14,01,Noon,10,2010,2010/10,Graduate Student,Grad - Law
4277812,20,4277785,,Human rights /,2nd ed.,"New York, NY : Foundation Press : Thomson Reuters, 2009.",2009,"Human rights / by Louis Henkin ... [et al.]. ÊNew York, NY : Foundation Press : Thomson Reuters, 2009. Êlvii, 1622 p. ; 26 cm. [004277785]",L005110108,International Human Rights (LAW 236),LRESV,k#3240 h846 2009,K3240 .H846 2009,c.2,,01,8923,Simple Loan,02,Loans,"Feb 15, 2011",17,28,Evening,02,2011,2011/02,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,13155,Simple Loan,02,Loans,"Sep 14, 2011",16,09,Noon,09,2011,2011/09,Graduate Student,Grad - Law
4317340,860,4317340,,The bluebook :,19th ed.,"Cambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010.",2010,"The bluebook : a uniform system of citation / compiled by the editors of the Columbia Law Review, the Harvard Law Review, the University of Pennsylvania Law Review, and the Yale Law Journal. ÊCambridge, Mass. : Published and distributed by the Harvard Law Review Association, 2010. Êxvii, 511 p. ; 22 cm. [004317340]",L00486463V,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""245 u55 2010",KF245 .U55 2010,c.5,,12,44489,Simple Loan,02,Loans,"Sep 8, 2011",14,29,Noon,09,2011,2011/09,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,13018,Simple Loan,02,Loans,"Jan 4, 2012",10,55,Morning,01,2012,2012/01,Graduate Student,Grad - Law
4316077,10,4316077,"Edwards, Linda Holdeman, 1948-",Legal writing :,5th ed.,"Austin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010.",2010,"Edwards, Linda Holdeman, 1948- ÊLegal writing : process, analysis, and organization / Linda H. Edwards. ÊAustin [Tex.] : Wolters Kluwer Law & Business ; New York, NY : Aspen Publishers, c2010. Êxxvii, 461 p. ; 26 cm. [004316077]",L00513587T,"Legal Analysis, Research & Writing (LAW 160A)",LRESV,"kf""250 e39 2010",KF250 .E39 2010,,,12,3608,Simple Loan,02,Loans,"Aug 22, 2012",17,26,Evening,08,2012,2012/08,Graduate Student,Grad - Law
4192545,10,4192417,"Abbott, Frederick M.",Global pharmaceutical policy :,,"Cheltenham, UK ; Northampton, MA : Edward Elgar, c2009.",2009,"Abbott, Frederick M. ÊGlobal pharmaceutical policy : ensuring medicines for tomorrow's world / Frederick M. Abbott, Graham Dukes. ÊCheltenham, UK ; Northampton, MA : Edward Elgar, c2009. Êx, 308 p. : ill. ; 25 cm. [004192417]",L00510678R,Access to Medicines (LAW 527),LRESV,k#3636 a93 2009,K3636 .A93 2009,,,01,37152,Simple Loan,02,Loans,"Dec 11, 2009",14,55,Noon,12,2009,2009/12,Law Faculty,Faculty - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,41314,Simple Loan,02,Loans,"Nov 22, 2011",10,06,Morning,11,2011,2011/11,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,16339,Simple Loan,02,Loans,"Mar 24, 2010",14,02,Noon,03,2010,2010/03,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,41890,Simple Loan,02,Loans,"Oct 27, 2010",15,10,Noon,10,2010,2010/10,Graduate Student,Grad - Law
4195083,10,85432,,Model Negotiation Exercises,,,0,,L00231427J,Negotiation (LAW 460),LRESV,1 Reserve,Reserve,,,12,37314,Simple Loan,02,Loans,"Oct 26, 2010",15,41,Noon,10,2010,2010/10,Graduate Student,Grad - Law
6380431,10,5581835,"Stern, Gerald M., 1937-",The Buffalo Creek disaster :,2nd Vintage Books ed.,"New York : Vintage Books, 2008.",2008,"Stern, Gerald M., 1937- ÊThe Buffalo Creek disaster : how the survivors of one of the worst disasters in coal-mining history brought suit against the coal company -- and won / Gerald M. Stern. ÊNew York : Vintage Books, 2008. Êxiv, 282 p. ; 21 cm. [005581835]",L00582299Z,Mass Torts (LAW 579),LRESV,"kf""228 p75 s7 2008",KF228.P75 S7 2008,,,12,3309,Simple Loan,02,Loans,"Sep 6, 2012",16,53,Noon,09,2012,2012/09,Law Faculty,Faculty - Law
